Número de Orden,Número de Mesa,Nombre del Plato,Descripción del Plato,Costo Unitario,Precio Unitario,Cantidad Ordenada,Tiempo de Preparación,Observaciones
67,2,Plato_2,Descripción del Plato_2,18,30,1,35,Sin cebolla
68,8,Plato_14,Descripción del Plato_14,14,23,3,43,Ninguna
68,8,Plato_16,Descripción del Plato_16,16,28,1,19,Sin cebolla
68,8,Plato_15,Descripción del Plato_15,19,32,3,57,Sin cebolla
68,8,Plato_1,Descripción del Plato_1,15,25,1,26,Sin cebolla
69,5,Plato_13,Descripción del Plato_13,13,21,3,20,Ninguna
69,5,Plato_7,Descripción del Plato_7,14,24,3,48,Sin cebolla
69,5,Plato_11,Descripción del Plato_11,20,33,3,24,Sin cebolla
70,17,Plato_1,Descripción del Plato_1,15,25,2,19,Sin cebolla
70,17,Plato_18,Descripción del Plato_18,20,34,2,21,Sin cebolla
71,18,Plato_2,Descripción del Plato_2,18,30,3,20,Sin cebolla
71,18,Plato_14,Descripción del Plato_14,14,23,2,29,Sin cebolla
72,17,Plato_13,Descripción del Plato_13,13,21,1,17,Sin cebolla
72,17,Plato_4,Descripción del Plato_4,10,18,3,37,Sin cebolla
73,1,Plato_6,Descripción del Plato_6,16,27,3,20,Ninguna
74,19,Plato_10,Descripción del Plato_10,15,26,2,39,Sin cebolla
74,19,Plato_18,Descripción del Plato_18,20,34,3,37,Ninguna
74,19,Plato_15,Descripción del Plato_15,19,32,2,24,Sin cebolla
75,19,Plato_20,Descripción del Plato_20,25,40,1,35,Ninguna
75,19,Plato_14,Descripción del Plato_14,14,23,3,16,Sin cebolla
76,17,Plato_2,Descripción del Plato_2,18,30,3,13,Sin cebolla
76,17,Plato_4,Descripción del Plato_4,10,18,1,34,Sin cebolla
76,17,Plato_7,Descripción del Plato_7,14,24,1,20,Ninguna
76,17,Plato_10,Descripción del Plato_10,15,26,1,30,Ninguna
77,3,Plato_4,Descripción del Plato_4,10,18,1,34,Sin cebolla
77,3,Plato_7,Descripción del Plato_7,14,24,2,55,Ninguna
77,3,Plato_11,Descripción del Plato_11,20,33,1,8,Sin cebolla
78,7,Plato_12,Descripción del Plato_12,11,19,3,54,Sin cebolla
79,16,Plato_9,Descripción del Plato_9,17,29,3,14,Ninguna
79,16,Plato_11,Descripción del Plato_11,20,33,3,14,Sin cebolla
79,16,Plato_3,Descripción del Plato_3,12,20,3,25,Ninguna
79,16,Plato_13,Descripción del Plato_13,13,21,3,43,Ninguna
80,18,Plato_5,Descripción del Plato_5,13,22,2,5,Ninguna
80,18,Plato_9,Descripción del Plato_9,17,29,1,34,Sin cebolla
80,18,Plato_7,Descripción del Plato_7,14,24,2,28,Ninguna
81,17,Plato_17,Descripción del Plato_17,19,31,2,59,Sin cebolla
82,16,Plato_1,Descripción del Plato_1,15,25,2,11,Sin cebolla
82,16,Plato_2,Descripción del Plato_2,18,30,1,8,Sin cebolla
83,15,Plato_6,Descripción del Plato_6,16,27,2,14,Ninguna
83,15,Plato_3,Descripción del Plato_3,12,20,1,30,Sin cebolla
83,15,Plato_15,Descripción del Plato_15,19,32,3,50,Ninguna
84,19,Plato_2,Descripción del Plato_2,18,30,2,10,Sin cebolla
85,8,Plato_16,Descripción del Plato_16,16,28,3,26,Sin cebolla
85,8,Plato_19,Descripción del Plato_19,22,36,2,33,Sin cebolla
85,8,Plato_3,Descripción del Plato_3,12,20,1,54,Sin cebolla
85,8,Plato_15,Descripción del Plato_15,19,32,1,29,Sin cebolla
86,20,Plato_1,Descripción del Plato_1,15,25,2,8,Sin cebolla
87,3,Plato_4,Descripción del Plato_4,10,18,2,55,Ninguna
87,3,Plato_15,Descripción del Plato_15,19,32,1,5,Sin cebolla
87,3,Plato_17,Descripción del Plato_17,19,31,1,11,Ninguna
88,18,Plato_20,Descripción del Plato_20,25,40,1,12,Ninguna
88,18,Plato_12,Descripción del Plato_12,11,19,3,46,Sin cebolla
88,18,Plato_10,Descripción del Plato_10,15,26,1,59,Ninguna
89,11,Plato_14,Descripción del Plato_14,14,23,3,44,Sin cebolla
89,11,Plato_18,Descripción del Plato_18,20,34,2,58,Ninguna
89,11,Plato_5,Descripción del Plato_5,13,22,1,40,Sin cebolla
90,6,Plato_18,Descripción del Plato_18,20,34,1,48,Sin cebolla
91,1,Plato_8,Descripción del Plato_8,21,35,3,21,Sin cebolla
91,1,Plato_13,Descripción del Plato_13,13,21,3,52,Ninguna
91,1,Plato_5,Descripción del Plato_5,13,22,2,11,Ninguna
91,1,Plato_6,Descripción del Plato_6,16,27,3,48,Ninguna
92,6,Plato_9,Descripción del Plato_9,17,29,2,36,Ninguna
92,6,Plato_7,Descripción del Plato_7,14,24,1,6,Sin cebolla
93,2,Plato_9,Descripción del Plato_9,17,29,1,18,Sin cebolla
94,12,Plato_2,Descripción del Plato_2,18,30,3,19,Sin cebolla
94,12,Plato_15,Descripción del Plato_15,19,32,2,56,Sin cebolla
94,12,Plato_11,Descripción del Plato_11,20,33,3,54,Sin cebolla
95,12,Plato_12,Descripción del Plato_12,11,19,3,19,Sin cebolla
95,12,Plato_15,Descripción del Plato_15,19,32,3,22,Sin cebolla
96,16,Plato_11,Descripción del Plato_11,20,33,2,47,Ninguna
96,16,Plato_12,Descripción del Plato_12,11,19,2,10,Ninguna
96,16,Plato_7,Descripción del Plato_7,14,24,3,19,Sin cebolla
97,14,Plato_10,Descripción del Plato_10,15,26,1,17,Sin cebolla
97,14,Plato_3,Descripción del Plato_3,12,20,3,5,Ninguna
97,14,Plato_18,Descripción del Plato_18,20,34,3,57,Ninguna
98,7,Plato_3,Descripción del Plato_3,12,20,3,56,Sin cebolla
98,7,Plato_9,Descripción del Plato_9,17,29,3,33,Sin cebolla
98,7,Plato_12,Descripción del Plato_12,11,19,1,51,Sin cebolla
99,2,Plato_2,Descripción del Plato_2,18,30,2,27,Sin cebolla
99,2,Plato_17,Descripción del Plato_17,19,31,1,5,Sin cebolla
99,2,Plato_12,Descripción del Plato_12,11,19,1,9,Ninguna
99,2,Plato_9,Descripción del Plato_9,17,29,1,45,Ninguna
100,18,Plato_7,Descripción del Plato_7,14,24,3,48,Sin cebolla
100,18,Plato_5,Descripción del Plato_5,13,22,2,33,Ninguna
100,18,Plato_1,Descripción del Plato_1,15,25,2,22,Sin cebolla
101,1,Plato_17,Descripción del Plato_17,19,31,1,24,Sin cebolla
101,1,Plato_1,Descripción del Plato_1,15,25,2,41,Sin cebolla
101,1,Plato_5,Descripción del Plato_5,13,22,1,35,Sin cebolla
101,1,Plato_8,Descripción del Plato_8,21,35,1,34,Sin cebolla
102,19,Plato_16,Descripción del Plato_16,16,28,3,17,Sin cebolla
102,19,Plato_9,Descripción del Plato_9,17,29,3,29,Ninguna
103,13,Plato_13,Descripción del Plato_13,13,21,1,57,Sin cebolla
103,13,Plato_18,Descripción del Plato_18,20,34,1,9,Ninguna
103,13,Plato_4,Descripción del Plato_4,10,18,1,33,Sin cebolla
104,14,Plato_14,Descripción del Plato_14,14,23,2,43,Sin cebolla
104,14,Plato_17,Descripción del Plato_17,19,31,1,12,Ninguna
105,14,Plato_3,Descripción del Plato_3,12,20,3,9,Ninguna
105,14,Plato_6,Descripción del Plato_6,16,27,3,34,Ninguna
106,15,Plato_18,Descripción del Plato_18,20,34,2,29,Ninguna
107,11,Plato_15,Descripción del Plato_15,19,32,2,48,Ninguna
107,11,Plato_9,Descripción del Plato_9,17,29,3,51,Sin cebolla
107,11,Plato_18,Descripción del Plato_18,20,34,3,42,Sin cebolla
108,3,Plato_9,Descripción del Plato_9,17,29,2,23,Ninguna
108,3,Plato_4,Descripción del Plato_4,10,18,1,10,Sin cebolla
108,3,Plato_3,Descripción del Plato_3,12,20,1,26,Sin cebolla
108,3,Plato_16,Descripción del Plato_16,16,28,1,56,Ninguna
109,10,Plato_18,Descripción del Plato_18,20,34,3,54,Sin cebolla
109,10,Plato_14,Descripción del Plato_14,14,23,1,26,Sin cebolla
109,10,Plato_5,Descripción del Plato_5,13,22,2,38,Ninguna
110,5,Plato_9,Descripción del Plato_9,17,29,2,38,Ninguna
110,5,Plato_10,Descripción del Plato_10,15,26,3,27,Ninguna
110,5,Plato_6,Descripción del Plato_6,16,27,1,56,Sin cebolla
111,3,Plato_15,Descripción del Plato_15,19,32,1,47,Sin cebolla
111,3,Plato_5,Descripción del Plato_5,13,22,3,5,Ninguna
111,3,Plato_7,Descripción del Plato_7,14,24,2,48,Ninguna
111,3,Plato_9,Descripción del Plato_9,17,29,2,37,Sin cebolla
112,6,Plato_3,Descripción del Plato_3,12,20,1,16,Sin cebolla
113,4,Plato_18,Descripción del Plato_18,20,34,2,51,Ninguna
114,7,Plato_2,Descripción del Plato_2,18,30,3,36,Ninguna
114,7,Plato_9,Descripción del Plato_9,17,29,3,22,Ninguna
114,7,Plato_4,Descripción del Plato_4,10,18,3,31,Sin cebolla
114,7,Plato_5,Descripción del Plato_5,13,22,1,42,Sin cebolla
115,12,Plato_6,Descripción del Plato_6,16,27,3,23,Sin cebolla
115,12,Plato_2,Descripción del Plato_2,18,30,2,32,Sin cebolla
115,12,Plato_15,Descripción del Plato_15,19,32,3,43,Sin cebolla
116,8,Plato_15,Descripción del Plato_15,19,32,3,54,Sin cebolla
116,8,Plato_8,Descripción del Plato_8,21,35,1,21,Ninguna
116,8,Plato_19,Descripción del Plato_19,22,36,1,26,Sin cebolla
116,8,Plato_18,Descripción del Plato_18,20,34,3,28,Sin cebolla
117,8,Plato_8,Descripción del Plato_8,21,35,2,8,Sin cebolla
118,13,Plato_4,Descripción del Plato_4,10,18,3,39,Ninguna
118,13,Plato_14,Descripción del Plato_14,14,23,3,22,Sin cebolla
118,13,Plato_6,Descripción del Plato_6,16,27,2,52,Sin cebolla
118,13,Plato_15,Descripción del Plato_15,19,32,1,23,Sin cebolla
119,17,Plato_10,Descripción del Plato_10,15,26,1,7,Ninguna
119,17,Plato_19,Descripción del Plato_19,22,36,2,13,Sin cebolla
119,17,Plato_4,Descripción del Plato_4,10,18,2,34,Sin cebolla
120,4,Plato_17,Descripción del Plato_17,19,31,3,56,Sin cebolla
120,4,Plato_10,Descripción del Plato_10,15,26,2,41,Sin cebolla
121,5,Plato_10,Descripción del Plato_10,15,26,2,38,Ninguna
122,6,Plato_8,Descripción del Plato_8,21,35,3,32,Ninguna
123,16,Plato_7,Descripción del Plato_7,14,24,1,33,Sin cebolla
124,16,Plato_3,Descripción del Plato_3,12,20,2,43,Ninguna
124,16,Plato_1,Descripción del Plato_1,15,25,1,27,Sin cebolla
124,16,Plato_11,Descripción del Plato_11,20,33,3,9,Sin cebolla
124,16,Plato_9,Descripción del Plato_9,17,29,2,59,Sin cebolla
125,14,Plato_16,Descripción del Plato_16,16,28,2,38,Sin cebolla
125,14,Plato_18,Descripción del Plato_18,20,34,2,15,Ninguna
125,14,Plato_3,Descripción del Plato_3,12,20,3,31,Ninguna
126,18,Plato_16,Descripción del Plato_16,16,28,1,19,Sin cebolla
126,18,Plato_8,Descripción del Plato_8,21,35,1,40,Sin cebolla
126,18,Plato_7,Descripción del Plato_7,14,24,3,27,Ninguna
126,18,Plato_2,Descripción del Plato_2,18,30,1,53,Ninguna
127,6,Plato_19,Descripción del Plato_19,22,36,2,30,Sin cebolla
128,2,Plato_1,Descripción del Plato_1,15,25,3,53,Ninguna
128,2,Plato_4,Descripción del Plato_4,10,18,3,50,Sin cebolla
128,2,Plato_7,Descripción del Plato_7,14,24,2,35,Sin cebolla
128,2,Plato_17,Descripción del Plato_17,19,31,2,34,Sin cebolla
129,16,Plato_12,Descripción del Plato_12,11,19,3,6,Sin cebolla
129,16,Plato_3,Descripción del Plato_3,12,20,1,24,Ninguna
129,16,Plato_9,Descripción del Plato_9,17,29,1,50,Ninguna
